title,url,lat,lng,leadtext,content
From restaurant to restaurant in the City of St. Gall,https://www.myswitzerland.com/en-ch/experiences/from-restaurant-to-restaurant-in-the-city-of-st-gall/,47.42431,9.37521,This “restaurant ramble” is an exciting and varied combination of city tour and culinary discoveries at various restaurants in the City of St. Gall.,"All year2 to 4 hours (half day)GroupsIndoor and outdoorGerman, English6 - 25St.Gallen-Bodensee TourismusBankgasse 99001 St. GallenSwitzerlandPhone+41 (0)71 227 37 37Fax +41 (0)71 227 37 67info@st.gallen-bodensee.chst.gallen-bodensee.chFacebookShow Route"
St. Gallen,https://www.myswitzerland.com/en-ch/destinations/stgallen/,47.42431,9.37521,"The compact metropolis of eastern Switzerland between Lake Constance and Appenzellerland has a charming, traffic-free old town. Colourfully-painted oriel windows are a town feature. The Abbey precinct with the cathedral and Abbey Library has been accorded UNESCO World Heritage listing.","St.Gallen’s most famous landmark is its Baroque cathedral with theAbbey Library, which houses some 170,000 documents – in part hand-written and over a thousand years old. The library probably also has Switzerland’s most beautiful Rococo hall. The entire Abbey precinct was declared aUNESCOworld heritage site in 1983.The name and foundation of the town stem from the Irish missionary monk Gallus who founded a hermitage here around 612. From 747, the then St.Gallen monastery was already following Benedictine Rule, which required the contemplative study of books and accordingly also stipulated the presence of a library. In the Middle Ages, the town developed into an important hub of culture and education in Europe. Later, the St.Gallen embroideries attracted international recognition and brought prosperity to the town.St.Gallen is a university town with a focus on the economic sciences. The home town of the renowned «Mummenschanz» theatre group offers a varied cultural offering with theatres and museums. In summer, the romantic art-nouveau Dreilinden-Weiher open-air pool with its splendid views over the town attracts visitors to swim.The excellent location in the four-country corner Switzerland, Germany, Austria and the Principality of Liechtenstein make St.Gallen the best starting point for excursions into the Appenzellerland with the Säntis, and to Lake Constance. Whether by rail or bicycle, the cycling and inline paradise of Lake Constance can be reached quickly along the Lake Constance Cycle Path. The combination of rail ‘n’ bike allows captivating tours to be undertaken which cross national borders. For walkers, the ‘Bridge Trail’ which passes over 18 bridges in the Sittertobel near St.Gallen is an experience: much about the design and construction of bridges is learnt en route. A six-hour section of the ‘Route of St. James’ leads from Rorschach to Herisau via St.Gallen.The Voralpen-Express connects Lake Constance with Lucerne via St.Gallen in 2:45 hours. This 149-km-long transversal travelling across the foothills of the Alps is interesting from a technical rail viewpoint, but also impresses with stunning landscapes such as the Toggenburg, Lake Zurich, and hill moor of Rothenturm.Just an hour from Zurich Airport, close to the borders with Germany and Austria, St.Gallen is a cosmopolitan, outgoing university city. Creative cuisine is combined with excellent seminar hotels. Lake Constance and the charming villages of the Appenzell region are attractive places for excursions."
Kunsthaus Zug,https://www.myswitzerland.com/en-ch/experiences/kunsthaus-zug/,47.16626,8.5155,"The Kunsthaus houses the most comprehensive collection of Viennese Modernism outside Austria in Europe. Included are outstanding work groups by Gerstl, Klimt, Schiele and Wotruba, and an idyllic garden, bright rooms and a bar with charm invite you to linger.",Kunsthaus ZugDorfstrasse 276301 ZugSwitzerlandPhone+41 (0)41 725 33 44info@kunsthauszug.chkunsthauszug.chShow Route
Zug,https://www.myswitzerland.com/en-ch/destinations/zug-1/,47.16626,8.5155,"Even the residents of Zug never tire of looking at it: when the sun sets over the lake, the horizon lights up ruby-red and all eyes are drawn to the romantic kaleidoscope of colours on the water. But even this is rivalled by the historic old town, where you can stroll through the labyrinthine narrow streets, saunter along the lakeside, or watch the colourful comings and goings from one of the many pavement cafés. ","Zug is self-confident and knows what it has to offer: a high quality of life, a view of the Rigi and Pilatus, and a jewel of a historic centre. It’s a stylish town that values public art. This goes together with the town’s business world, which lends the pretty town a certain international flavour: well over 100 nations in Zug greet each other with a friendly “Grüezi”.History tells us that the town was founded in the early 13th century by the counts of Kyburg. The 52-metre-highZytturmalso dates back to this period. Initially built as a simple gateway in the old town wall, over the centuries it was expanded and its height increased until it attained the form we see today, with its oriel windows and steep hipped roof. In 1574 the great clock was built into it, giving the tower its present name. Under this main clock there is an astronomical timepiece with four hands indicating the week, the phase of the moon, the month, as well as whether it is currently a leap year.InZug’s old townitself there are fine sights in the form of the late gothictown hallbuilt in 1505 andSt. Oswald’s church, from the same period. You can certainly lose yourself in the picturesque narrow streets of the old town, without actually getting lost: saunter past brightly coloured rows of houses, pretty boutiques and tempting restaurants – and you’ll end up in Landsgemeindeplatz, the main square on the lake.This is where Zug lives, celebrates and simply takes it easy on fine summer evenings. Children love the aviaries, fans of the water can hire boats, and romantics simply appreciate the world’s most beautiful sunset.Zug is certainly not just somewhere to visit in summer. It has plenty to offer during the coldest part of the year too. For example, there’s the Zugerberg, Zug’s local mountain. Eight minutes is all it takes to get out of the town and into the country. A short hike over the snow-covered winter landscape of the Zugerberg is particularly atmospheric. The Zugerberg provides a contrast to the town’s hustle and bustle with stillness, the beauty of nature and an impressive panorama.For the more energetic, the Zugerberg is a place where you can put on your cross-country skis and get going. At 925 metres above sea level and looking over the valley mist: the snowy upland landscape is the ideal terrain for it. You’re rewarded with a view of the Rigi and the Pre-Alps. Zug’s winter wonderland is a world of its own, and an inviting place to go sledging and snowshoeing as well.In Zug itself, winter is also a time for celebration. Old-time customs and traditions live on, such as Bäckermöhli, Zuger Fasnacht, Greth Schell, Chrööpfelimee and Märlisunntig. To find out what lies behind these quirky names, you’ll have to visit the charming town of Zug!In summer the whole town enjoys “la dolce vita” of Lake Zug – by, on, or in the water. A special surprise: all of Zug’s swimming spots are free to use, whether by the casino in the town centre, at the carefully maintained beach, or in the natural surroundings of “Brüggli”. It’s said that nowhere else in Switzerland is the sunset more impressive than at Lake Zug. You’ll have your own private box from which to take in the show if you go to one of the many lakeside restaurants on Lake Zug to enjoy an evening cocktail.If you feel like spending an idyllic summer’s day on the lake, go to one of the town’s three jetties, step onto one of the Lake Zug Navigation Company steamers and let it ferry you through the fairytale scenery. The fresh breeze, the feeling of leaving your everyday life behind and the view of the surrounding shores are as reviving as a day in a spa. But then again, there’s a whole host of sporting activities on offer, by, on and in the water: stand-up paddle boarding, wakeboarding or pedalos – to name but a few.But you shouldn’t miss a stroll through the old town either, which is situated right by the lake. 140 shops and restaurants nestle amid the historic houses of Zug’s old town. Traditional handicrafts meet timeless cultural goods; centuries-old traditions sit side-by-side with modern lifestyles.Finally, a visit to the town of Zug should never be without a delightful taste of Kirschtorte, its famous cherry torte. Lovers of the Zuger Kirschtorte have included such Hollywood greats as Audrey Hepburn and Charlie Chaplin. Zug is proud to be known as the “Cherry Canton”. Numerous cherry-related customs and traditions are celebrated in the town and indeed in the whole region. Cherry walks are particularly popular, for example.And then there are social festivals and sumptuous events that are held from spring until late summer. Starting with the cherry blossom, moving on to the Zug Lake Festival and right through to Jazz Night."
Sattel-Hochstuckli,https://www.myswitzerland.com/en-ch/destinations/sattel-hochstuckli/,47.07842,8.63415,"Sattel-Hochstuckli is in the foothills of the Alps in Schwyz, in the heart of Central Switzerland. Here you’ll find the first cable-car in the world to have revolving panoramic gondolas to take passengers up to the facilities for fun and sports.","The village of Sattel is on the road over from Goldau and Schwyz towards Lake Aegeri and the upland valley of the Biber, in the direction of Einsiedeln and Lake Zurich. It was on the territory of Sattel, in the hamlet of Schornen by the Morgarten mountain, that a battle took place on 15 November 1315 between the Habsburgs and the people of Schwyz and their confederates, which went down in history as the “first freedom battle” fought by the Confederation. The Habsburg army was utterly wiped out. Today the Battle of Morgarten is remembered by a memorial on Lake Aegeri and a chapel.In winter, the region becomes a family-friendly winter sports area with 14 km of slopes and 20 km of cross-country ski tracks. For sledgers, careering from the Mostelberg to Sattel is a real adventure (and the run is even open at night on certain dates). Snow-shoe tours make for a wonderful day in the snow, rounded off with a fondue or “moonlight” menu.Sattel-Hochstuckli offers a really special cable-car experience: ""Stuckli Rondo"" is the first cable-car in the world to have revolving gondolas, taking passengers in comfort from Sattel up to ""Stuckli Run"" summer sledging run (with steep-sided bends and tunnels), to the jumping paradise of ""Stuckli Jump"" (trampoline and bouncy castle), the Engelstock adventure trail, the starting point for walks and hikes and to the mountain restaurants.There’s plenty of fun, sport and adventure in summer. The new pedestrian suspension bridge ""Raiffeisen Skywalk"" is the highlight of the Sattel-Hochstuckli adventure area. Visitors enjoy the experience of being on a suspension bridge on Europe’s longest pedestrian suspension bridge - which is 374 meters long and 58 meters high. The ""Raiffeisen Skywalk"" can be easily combined with circular hiking tours. It is also wheelchair- and stroller-friendly."
Take a ride in a piste basher,https://www.myswitzerland.com/en-ch/experiences/take-a-ride-in-a-piste-basher/,47.07842,8.63415,,"2 to 4 hours (half day)Individual, CouplesOutdoorOn demandNature, AdventureYesSattel-Hochstuckli AGGerman, Swiss German, English1 - 2CHF 160YesSattel-Hochstuckli AGPostfach 366417 SattelSwitzerlandPhone+41 (0)41 836 80 80info@sattel-hochstuckli.chsattel-hochstuckli.chShow Route"
Sattel-Hochstuckli – pure adventure,https://www.myswitzerland.com/en-ch/experiences/sattel-hochstuckli-pure-adventure/,47.07842,8.63415,"Revolving gondola rail, summer toboggan fun on the ""Stuckli-Run"", tubing, Skywalk footpath on the hanging bridge, hops and jumps in a bouncy castle and exciting Trotty descents add to adventure here.",Sattel-Hochstuckli AGPostfach 366417 SattelSwitzerlandPhone+41 (0)41 836 80 80info@sattel-hochstuckli.chsattel-hochstuckli.chShow Route
Sattel Hochstuckli - First ski experience,https://www.myswitzerland.com/en-ch/experiences/sattel-hochstuckli-first-ski-experience/,47.07842,8.63415,"one, two, ski is a package specially designed for ski beginners. The package includes a skiing day pass, rental gear and a one-hour ski lesson with a qualified teacher. One, two, ski is the easiest way to start skiing.","Groups, Individual, CouplesOutdoorSattel Hochstuckli6417 SattelSwitzerlandPhone+41 (0)41 836 80 80Fax +41 (0)41 836 80 88info@sattel-hochstuckli.chsattel-hochstuckli.chShow Route"
Hay soup in Sattel,https://www.myswitzerland.com/en-ch/experiences/hay-soup-in-sattel/,47.07842,8.63415,,"2 to 4 hours (half day)Individual, Couples, Families, GroupsIndoorOn demandCulinaryYesEveline OttGerman, Swiss German, English2 - 8CHF 76CHF 46.00 per childCHF 96.00 incl. wineCHF 76.00 excl. wineYesYes"
Rondos Kinderland Sattel-Hochstuckli,https://www.myswitzerland.com/en-ch/experiences/kinderland-sattel-hochstuckli/,47.07842,8.63415,"The revolving gondola gives you easy and direct access to the Rondo Kinderland. Here, fun on the snow is very much the order of the day.",Sattel-Hochstuckli AGPostfach 366417 SattelSwitzerlandPhone+41 (0)41 836 80 80info@sattel-hochstuckli.chsattel-hochstuckli.chShow Route
Guggi,https://www.myswitzerland.com/en-ch/experiences/guggi/,47.16626,8.5155,"The Guggi is a distinctive lookout point offering a unique view of Zug’s Old Town with its four defence towers, the castle, the steeple of the Gothic Church of St. Oswald, the Zytturm clock tower as well as the government building by the lake.",Guggi6300 ZugSwitzerlandShow Route
Höllgrotten Caves,https://www.myswitzerland.com/en-ch/experiences/hoellgrotten/,47.19568,8.52597,Discover the world's most amazing stalactite caves in Lorzentobel near Baar. Young and old are enchanted by fairy-tale rock formations in the Hell Grottoes Caves.,"April - October1-2 hours6 to 9 years, 10 to 13 years, 14+ yearsFamilies, Groups, Individual, CouplesIndoor and outdoorFixEducation, Adventure, NatureGerman, English, French, Italian1 - 12Höllgrotten BaarLeihgasse 26340 BaarSwitzerlandPhone+41 (0)41 761 83 70info@hoellgrotten.chhoellgrotten.chShow Route"
Church of St. Oswald,https://www.myswitzerland.com/en-ch/experiences/church-of-st-oswald/,47.16626,8.5155,"On 18 May 1478 the people of Zug, under the direction of Hans Felder, laid the foundation stone for this late-Gothic church. The main entrance is flanked up on the left and right by the city’s patron saints, Oswald and Michael.",
Old Town of Zug,https://www.myswitzerland.com/en-ch/experiences/old-town-of-zug/,47.16626,8.5155,What you see in these old streets will amaze you. They are the perfect meeting place for young and old. The Old Town of Zug will transport you back to bygone days.,Zug TourismusBahnhofplatz6300 ZugSwitzerlandPhone+41 (0)41 723 68 03info@zug.chzug-tourismus.chFacebookShow Route
Zytturm (Clock Tower),https://www.myswitzerland.com/en-ch/experiences/zytturm-zug/,47.16626,8.5155,"This landmark of Zug is 52 metres high and rises above the other town towers. The lower part was constructed as a simple passageway through the town’s oldest circular wall. Hans Felder snr., from Bavaria, the master builder who built St. Oswald's Church, increased the tower height in 1478-1480.","All year1-2 hoursFamilies, Groups, Individual, CouplesIndoor and outdoorCulture, UrbanZug TourismusBahnhofplatz6300 ZugPhone+41 (0)41 723 68 00info@zug.chzug-tourismus.chShow Route"
Zurich Region,https://www.myswitzerland.com/en-ch/destinations/zurich-region/,47.37437,8.54239,"Zurich is top for leisure and pleasure. Gentle hills, peaceful woods, the unpolluted lakes and rivers, picturesque villages - and all just a stone's throw from the Alps. Zurich is the ideal starting point for all kinds of varied excursions.","ZürichEnjoy the pretty old town, the trendy new Zurich-West district and the glorious lake. With opera, ballet, theater premieres, shows, musicals, art exhibitions in over 50 museums and 100 galleries, time never drags in Zurich. The famous Bahnhofstrasse and the Limmatquai are a shopper's paradise. Over 1,700 restaurants and bars serve both traditional Zurich and Swiss dishes as well as exotic specialties. The evenings will leave you spoilt for choice: indoors or outdoors, anything is possible as far as the nightlife in Zurich goes.WinterthurWinterthur has blossomed from a former industrial town to a lively venue for all ethnic groups and types of culture. Winterthur is an important museum town - it has 17 in all - and also offers a wide range of culture, sports and entertainment. Amongst the numerous night clubs and bars you will also find the only bar in Switzerland that opens 24 hours a day, every day of the year. The Rhine Falls, the biggest waterfall in Europe, is just a 20 minute drive from Winterthur.Rapperswil & Lake ZürichRapperswil, the riviera at the upper end of Lake Zürich, will charm you with its many attractions: the castle, the medieval old town, the historical wooden bridge and Knies Children's Zoo. Equally, however, the Alpamare water park and Atzmännig slide & trampoline paradise are just as much part of this family-friendly destination. Summer or winter, the Lake Zürich region offers many opportunities for sport.BadenBaden, a historical city with a very lively present, is worth a visit, not just because of the Grand Casino Baden.ZugEven the residents of Zug never tire of the sunsets: when the sun goes down over the lake, the horizon goes blood-red, and all eyes turn to the romantic show of colour on the water. Equally charming is the historic centre of the town, best experienced by strolling its narrow and winding alleys, lingering on the pretty lakeshore and sitting at one of the many street cafés to watch the world go by."
The Grossmünster (Great Church),https://www.myswitzerland.com/en-ch/experiences/the-grossmuenster-great-church/,47.36971,8.53904,"Any religious tour to Zürich must begin at the Romanesque Grossmünster, symbol of the city and Zürich's religious heart and soul. This is the site where legend says Sts. Felix and Regula are buried, the cathedral that Charlemagne is said to have founded himself. More importantly, it was here in the Grossmünster that Huldrych Zwingli preached a new brand of Christianity in the early 16th century, one that would change the face of Switzerland and Protestantism.",
Mascotte,https://www.myswitzerland.com/en-ch/experiences/mascotte/,47.36971,8.53904,Clubbing at Zurich’s oldest nightclub.,All yearGroupsMascotteTheaterstrasse 108001 ZürichSwitzerlandPhone+41 (0)44 260 15 80Fax +41 (0)44 260 15 84info@mascotte.chmascotte.chShow Route
